method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
SNV,rbf_svm,10.000000,0.1,42,4,0.973684,0.968254,0.966667
SNV,rbf_svm,10.000000,1,42,4,0.684211,0.587500,0.582035
SNV,rbf_svm,10.000000,10,42,4,0.342105,0.145503,0.104618
SNV,rbf_svm,100.000000,0.001,42,4,0.894737,0.913060,0.869751
SNV,rbf_svm,100.000000,0.01,42,4,0.973684,0.972710,0.967014
SNV,rbf_svm,100.000000,0.1,42,4,0.947368,0.945887,0.933099
SNV,rbf_svm,100.000000,1,42,4,0.684211,0.587500,0.582035
SNV,rbf_svm,100.000000,10,42,4,0.342105,0.145503,0.104618
USP,svm,0.010000,scale,43,0,0.871795,0.857021,0.840295
USP,svm,0.100000,scale,43,0,0.923077,0.898218,0.903386
USP,svm,1.000000,scale,43,0,0.948718,0.919769,0.935323
USP,svm,10.000000,scale,43,0,0.948718,0.919769,0.935323
USP,svm,100.000000,scale,43,0,0.948718,0.919769,0.935323
USP,rbf_svm,0.100000,0.001,43,0,0.076923,0.023810,0.000000
USP,rbf_svm,0.100000,0.01,43,0,0.230769,0.126812,0.128167
USP,rbf_svm,0.100000,0.1,43,0,0.794872,0.786508,0.745928
USP,rbf_svm,0.100000,1,43,0,0.128205,0.141414,0.045356
USP,rbf_svm,0.100000,10,43,0,0.076923,0.023810,0.000000
USP,rbf_svm,1.000000,0.001,43,0,0.282051,0.193186,0.180795
USP,rbf_svm,1.000000,0.01,43,0,0.871795,0.857021,0.840295
USP,rbf_svm,1.000000,0.1,43,0,0.871795,0.858658,0.836957
USP,rbf_svm,1.000000,1,43,0,0.743590,0.763268,0.663793
USP,rbf_svm,1.000000,10,43,0,0.435897,0.338889,0.225632
USP,rbf_svm,10.000000,0.001,43,0,0.897436,0.872425,0.872026
USP,rbf_svm,10.000000,0.01,43,0,0.948718,0.927674,0.935000
USP,rbf_svm,10.000000,0.1,43,0,0.923077,0.914625,0.901928
USP,rbf_svm,10.000000,1,43,0,0.769231,0.776613,0.697414
USP,rbf_svm,10.000000,10,43,0,0.487179,0.371615,0.296029
USP,rbf_svm,100.000000,0.001,43,0,0.948718,0.919769,0.935323
USP,rbf_svm,100.000000,0.01,43,0,0.948718,0.927674,0.935000
