ratio,method,ID_mean,ID_std,OOD-Turbid_mean,OOD-Turbid_std,OOD-Foamy_mean,OOD-Foamy_std,ID-IllumShift_mean,ID-IllumShift_std,ID-SensorDrift_mean,ID-SensorDrift_std,ID-BandShift_mean,ID-BandShift_std,OOD-IllumShift_mean,OOD-IllumShift_std,OOD-SensorDrift_mean,OOD-SensorDrift_std,OOD-BandShift_mean,OOD-BandShift_std
0.2,A2: Global TruncSVD (SNV-Pre),0.8881511470985156,0.0604981627387169,0.9099762529683789,0.030535796559194174,0.8366204081632653,0.03673252450132519,0.8850472334682862,0.05733437487393342,0.31800269905533063,0.17904286663235985,0.5930634278002699,0.1304481729504971,0.9080764904386952,0.02967743810555948,0.3254293213348331,0.10300819237389876,0.6512560929883765,0.09864823798140371
0.2,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.7950067476383267,0.06153683379716226,0.8880814898137733,0.03542781650367457,0.8260408163265306,0.05467051993882794,0.7950067476383267,0.06153683379716226,0.29341430499325233,0.14484633577847808,0.47139001349527665,0.11601556360462463,0.8880814898137733,0.03542781650367457,0.31666041744781903,0.0913598037267115,0.5789951256092989,0.10687732041033773
0.2,A3: Global TruncSVD (MSC-Pre),0.8011875843454791,0.06258408175681311,0.8934608173978252,0.035628845318059675,0.8251918367346939,0.04463505587813778,0.8011875843454791,0.06258408175681311,0.28253711201079623,0.15290704289287843,0.5237246963562753,0.11670629759497593,0.8934608173978252,0.035628845318059675,0.33594050743657045,0.10254175445296418,0.6185551806024246,0.09504759590908132
0.2,A: Global TruncSVD,0.9502564102564102,0.03413037909045342,0.931841019872516,0.03344686643627455,0.9057142857142857,0.04078570279750469,0.944021592442645,0.034066931913322,0.5917678812415654,0.1685574145267256,0.9004858299595142,0.04767805354699762,0.9305736782902138,0.03386100505132383,0.6121234845644294,0.09349922822211368,0.8884014498187726,0.04447197073544136
0.2,A_L2: L2 row norm (no SNV),0.9400539811066128,0.03466379871418699,0.9210698662667167,0.023525400501944738,0.8919836734693878,0.0421305231411522,0.9338191632928475,0.032540551417357684,0.32016194331983805,0.1523599850012056,0.6047503373819163,0.17008145762339105,0.9198025246844145,0.023289100636846416,0.2841544806899138,0.09639280887101306,0.5476215473065866,0.1436432190110822
0.2,A_drop1: Drop PC1 (PC2–PC20),0.9400269905533064,0.034720473346949964,0.9194925634295713,0.03551604185910397,0.8732081632653061,0.060162776098953444,0.9337921727395411,0.03506788168932543,0.4993252361673414,0.14947453141972694,0.8614035087719298,0.06771101805458264,0.9175928008998875,0.03568311130541061,0.5280964879390077,0.12500009405197096,0.8360779902512187,0.060729632889726
0.2,A_drop1_scale: Drop PC1 + Scale (no SNV),0.8258569500674764,0.06562921528663397,0.8158255218097737,0.04045121049579555,0.8016979591836734,0.06555243515556367,0.8031309041835358,0.07884163267373252,0.23017543859649123,0.10395585281205148,0.41041835357624834,0.12488149287316956,0.7942932133483315,0.044011313406744204,0.2136757905261842,0.07584211140252117,0.33497812773403324,0.09945226645463928
0.2,F: PLS-DA,0.8082051282051281,0.056402440123388034,0.7657442819647544,0.04292021965478713,0.7569795918367348,0.06729311392711364,0.8030229419703104,0.05122835280756038,0.3718488529014845,0.07353014728592257,0.7873414304993253,0.06855793137018575,0.7654243219597551,0.042687805580499685,0.42633170853643293,0.06038728604258044,0.767634045744282,0.04384205506913743
0.3,A*: Global TruncSVD (Centered),0.8446693657219972,0.07941552752268047,0.8031721034870641,0.03772476403001587,0.7854204081632653,0.06811003665303643,0.8043454790823212,0.09955501046307097,0.7432928475033738,0.10305956015376105,0.8425910931174089,0.07586456323667214,0.7667116610423698,0.03746586474989996,0.7429521309836271,0.06473939264612615,0.7946281714785651,0.03717927171134713
0.3,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.9077462887989204,0.043064137589865346,0.9264516935383077,0.025365048136517625,0.8570775510204082,0.055175395869133226,0.9036167341430499,0.040657754615740026,0.2619433198380567,0.15706375369459838,0.5805128205128205,0.10217933515736552,0.9245519310086239,0.025222196940087465,0.2963854518185227,0.09857627938901971,0.6432270966129233,0.12008269012569149
0.3,A2: Global TruncSVD (SNV-Pre),0.9150067476383267,0.04265112389257155,0.9270841144856893,0.025628788587706165,0.8529795918367347,0.05735226450201988,0.9108771929824562,0.04102482715768234,0.29662618083670717,0.17721652225320472,0.5889338731443995,0.13108275242106845,0.9251843519560055,0.0257380016712505,0.30017997750281217,0.12128512172798034,0.6390951131108611,0.13191657179788663
0.3,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.8197840755735493,0.05142830790435931,0.9007574053243345,0.026607732100733323,0.848930612244898,0.05043697983787195,0.8197840755735493,0.05142830790435931,0.222834008097166,0.08141356770983706,0.45063427800269906,0.10480668091729946,0.9007574053243345,0.026607732100733323,0.3140482439695038,0.07038911707140352,0.5263567054118234,0.12139543558449731
0.3,A3: Global TruncSVD (MSC-Pre),0.8135762483130904,0.05487463369653193,0.8991801024871892,0.02934998994392825,0.8456489795918367,0.05247989771359008,0.8135762483130904,0.05487463369653193,0.2341430499325236,0.07798218883057828,0.4712280701754386,0.12738954421821658,0.8991801024871892,0.02934998994392825,0.3175553055868016,0.0818473831662957,0.5501387326584176,0.14835645513596116
0.3,A: Global TruncSVD,0.9565991902834008,0.02944754714997391,0.9489588801399824,0.014168387222296472,0.9187102040816326,0.038775631936794244,0.9503643724696356,0.03157666443105387,0.5886909581646423,0.17572233880231447,0.9191632928475033,0.06644739483031135,0.9476890388701412,0.014705627393028338,0.6095263092113486,0.08329296231723463,0.9163154605674291,0.03593944865836511
0.3,A_L2: L2 row norm (no SNV),0.9483400809716599,0.035585972367917176,0.9442119735033121,0.021024794781757616,0.8951673469387755,0.04324583697490594,0.9421052631578948,0.034342871840850504,0.3202968960863698,0.12298125736061927,0.6448582995951416,0.12833509050769737,0.9426271716035495,0.021612895151496614,0.2961354830646169,0.11449904212205905,0.5769778777652793,0.12668849419054037
0.3,A_drop1: Drop PC1 (PC2–PC20),0.9492847503373819,0.025136409429240596,0.9394425696787901,0.021758991831541074,0.890269387755102,0.05447867093240395,0.9430499325236167,0.025765024415704142,0.4986774628879892,0.1697350146938717,0.8782186234817815,0.10204750245910935,0.9375428071491063,0.02180564812769375,0.5411248593925759,0.12578776436696734,0.8614823147106612,0.07722190115496269
0.3,A_drop1_scale: Drop PC1 + Scale (no SNV),0.8684750337381917,0.05679983296692319,0.8522609673790776,0.034184171130714605,0.8407510204081633,0.05573168600227694,0.845748987854251,0.07102002866972443,0.20628879892037788,0.11851513616152723,0.364885290148448,0.09139340884009034,0.8291388576427947,0.03889330232290867,0.21837770278715157,0.08811254738555649,0.2960229971253593,0.08846666271825779
0.3,F: PLS-DA,0.8114439946018893,0.049975847759635705,0.7698612673415823,0.04019700310772678,0.7578122448979592,0.06478275403259114,0.8062618083670715,0.04563241437396249,0.3917139001349528,0.06418038697652753,0.7958434547908232,0.058709649668425505,0.7695413073365829,0.04037500392443,0.4466091738532683,0.06380737783374395,0.7723884514435696,0.03675500736719513
0.5,A*: Global TruncSVD (Centered),0.8727125506072875,0.06711579314820151,0.8342382202224722,0.02872837861590993,0.8155265306122449,0.0618258987834194,0.8271524966261807,0.07809029328923858,0.7722267206477733,0.09724895087768724,0.8622941970310392,0.06294981216711872,0.7996850393700786,0.025820941707826645,0.7613723284589426,0.07386383286204194,0.8288588926384202,0.030530488167712474
0.5,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.9368421052631579,0.03357924773216933,0.9407174103237095,0.020890351910361437,0.8650775510204082,0.046950764514445395,0.9326855600539811,0.03439270659330393,0.2799460188933873,0.13154366460059863,0.6447503373819162,0.11487777790734566,0.9391351081114861,0.02019242007291906,0.350453693288339,0.12115019592408348,0.6852343457067867,0.11088540403829977
0.5,A2: Global TruncSVD (SNV-Pre),0.9378947368421052,0.02987845311038326,0.9410373703287089,0.019315555385073253,0.8602285714285715,0.054125778414126885,0.935816464237517,0.030009497196467574,0.3008367071524966,0.11205121378658349,0.6073414304993252,0.10612612969495139,0.9394550681164854,0.01886063252943286,0.3407049118860142,0.11530958426079786,0.6529233845769279,0.10627474488055182
