seed,fold,ratio,method,classifier,condition,OA,macro_F1,kappa
44,3,1.000000,SG1,svm,Normal,0.868421,0.839636,0.836489
44,3,1.000000,SG1,svm,BandShift,0.236842,0.063830,-0.059615
44,3,1.000000,SG1,rbf_svm,Normal,0.842105,0.855842,0.799824
44,3,1.000000,SG1,rbf_svm,BandShift,0.157895,0.084615,0.048513
44,3,1.000000,EMSC,svm,Normal,0.947368,0.961415,0.933856
44,3,1.000000,EMSC,svm,BandShift,0.763158,0.668058,0.699473
44,3,1.000000,EMSC,rbf_svm,Normal,0.947368,0.944851,0.934313
44,3,1.000000,EMSC,rbf_svm,BandShift,0.763158,0.684046,0.696539
44,3,1.000000,Detrend,svm,Normal,0.815789,0.818963,0.768091
44,3,1.000000,Detrend,svm,BandShift,0.368421,0.173611,0.195057
44,3,1.000000,Detrend,rbf_svm,Normal,0.868421,0.871429,0.833916
44,3,1.000000,Detrend,rbf_svm,BandShift,0.368421,0.219787,0.243154
44,4,1.000000,USP,svm,Normal,1.000000,1.000000,1.000000
44,4,1.000000,USP,svm,BandShift,0.973684,0.968254,0.967071
44,4,1.000000,USP,rbf_svm,Normal,0.921053,0.920928,0.900870
44,4,1.000000,USP,rbf_svm,BandShift,0.921053,0.946703,0.900956
44,4,1.000000,SNV,svm,Normal,0.921053,0.942857,0.901384
44,4,1.000000,SNV,svm,BandShift,0.684211,0.552778,0.611915
44,4,1.000000,SNV,rbf_svm,Normal,0.947368,0.962576,0.933970
44,4,1.000000,SNV,rbf_svm,BandShift,0.368421,0.224040,0.155556
44,4,1.000000,SG1,svm,Normal,0.921053,0.898810,0.898757
44,4,1.000000,SG1,svm,BandShift,0.210526,0.057971,-0.058496
44,4,1.000000,SG1,rbf_svm,Normal,0.815789,0.771429,0.763134
44,4,1.000000,SG1,rbf_svm,BandShift,0.105263,0.034188,-0.016522
44,4,1.000000,EMSC,svm,Normal,0.842105,0.859087,0.806616
44,4,1.000000,EMSC,svm,BandShift,0.763158,0.769763,0.709677
44,4,1.000000,EMSC,rbf_svm,Normal,0.868421,0.892732,0.835498
44,4,1.000000,EMSC,rbf_svm,BandShift,0.710526,0.623982,0.629104
44,4,1.000000,Detrend,svm,Normal,0.789474,0.744783,0.729537
44,4,1.000000,Detrend,svm,BandShift,0.263158,0.074074,0.011152
44,4,1.000000,Detrend,rbf_svm,Normal,0.789474,0.671779,0.728086
44,4,1.000000,Detrend,rbf_svm,BandShift,0.315789,0.208660,0.186161
45,0,1.000000,USP,svm,Normal,1.000000,1.000000,1.000000
45,0,1.000000,USP,svm,BandShift,1.000000,1.000000,1.000000
45,0,1.000000,USP,rbf_svm,Normal,0.948718,0.961760,0.935323
45,0,1.000000,USP,rbf_svm,BandShift,0.948718,0.964091,0.935270
45,0,1.000000,SNV,svm,Normal,0.871795,0.870437,0.841721
45,0,1.000000,SNV,svm,BandShift,0.564103,0.411111,0.468750
45,0,1.000000,SNV,rbf_svm,Normal,0.948718,0.964091,0.935270
45,0,1.000000,SNV,rbf_svm,BandShift,0.333333,0.171627,0.081522
45,0,1.000000,SG1,svm,Normal,0.897436,0.885611,0.870861
45,0,1.000000,SG1,svm,BandShift,0.230769,0.062500,-0.063636
45,0,1.000000,SG1,rbf_svm,Normal,0.871795,0.884545,0.836957
45,0,1.000000,SG1,rbf_svm,BandShift,0.179487,0.091932,0.045872
45,0,1.000000,EMSC,svm,Normal,0.897436,0.918182,0.872236
45,0,1.000000,EMSC,svm,BandShift,0.794872,0.825319,0.749398
45,0,1.000000,EMSC,rbf_svm,Normal,0.923077,0.936436,0.903783
45,0,1.000000,EMSC,rbf_svm,BandShift,0.666667,0.511656,0.565180
45,0,1.000000,Detrend,svm,Normal,0.871795,0.842379,0.836820
45,0,1.000000,Detrend,svm,BandShift,0.256410,0.106722,0.051970
45,0,1.000000,Detrend,rbf_svm,Normal,0.897436,0.884497,0.869018
45,0,1.000000,Detrend,rbf_svm,BandShift,0.384615,0.245893,0.254777
45,1,1.000000,USP,svm,Normal,0.948718,0.959482,0.936222
45,1,1.000000,USP,svm,BandShift,0.948718,0.959482,0.936222
45,1,1.000000,USP,rbf_svm,Normal,0.923077,0.940212,0.904645
45,1,1.000000,USP,rbf_svm,BandShift,0.923077,0.940212,0.904645
45,1,1.000000,SNV,svm,Normal,0.923077,0.935600,0.904801
45,1,1.000000,SNV,svm,BandShift,0.692308,0.586745,0.625000
45,1,1.000000,SNV,rbf_svm,Normal,0.948718,0.963256,0.935961
45,1,1.000000,SNV,rbf_svm,BandShift,0.384615,0.235013,0.157516
45,1,1.000000,SG1,svm,Normal,0.871795,0.888889,0.839242
45,1,1.000000,SG1,svm,BandShift,0.230769,0.062500,-0.058824
45,1,1.000000,SG1,rbf_svm,Normal,0.820513,0.829894,0.773444
45,1,1.000000,SG1,rbf_svm,BandShift,0.128205,0.039683,-0.002268
45,1,1.000000,EMSC,svm,Normal,0.871795,0.879504,0.842995
45,1,1.000000,EMSC,svm,BandShift,0.666667,0.682066,0.595371
45,1,1.000000,EMSC,rbf_svm,Normal,0.871795,0.897103,0.842361
45,1,1.000000,EMSC,rbf_svm,BandShift,0.666667,0.577255,0.579950
45,1,1.000000,Detrend,svm,Normal,0.820513,0.827958,0.773444
45,1,1.000000,Detrend,svm,BandShift,0.333333,0.224275,0.190096
45,1,1.000000,Detrend,rbf_svm,Normal,0.794872,0.790260,0.740864
45,1,1.000000,Detrend,rbf_svm,BandShift,0.333333,0.218519,0.197150
45,2,1.000000,USP,svm,Normal,0.948718,0.926587,0.935590
45,2,1.000000,USP,svm,BandShift,0.948718,0.926587,0.935590
45,2,1.000000,USP,rbf_svm,Normal,0.948718,0.926587,0.935590
45,2,1.000000,USP,rbf_svm,BandShift,0.948718,0.926587,0.935590
45,2,1.000000,SNV,svm,Normal,0.923077,0.893254,0.904412
45,2,1.000000,SNV,svm,BandShift,0.538462,0.361757,0.437500
45,2,1.000000,SNV,rbf_svm,Normal,0.871795,0.882672,0.838576
45,2,1.000000,SNV,rbf_svm,BandShift,0.358974,0.203014,0.121622
45,2,1.000000,SG1,svm,Normal,0.897436,0.854329,0.869783
45,2,1.000000,SG1,svm,BandShift,0.256410,0.068027,-0.028182
45,2,1.000000,SG1,rbf_svm,Normal,0.846154,0.824824,0.803196
45,2,1.000000,SG1,rbf_svm,BandShift,0.153846,0.067460,0.021293
45,2,1.000000,EMSC,svm,Normal,0.923077,0.907672,0.904878
45,2,1.000000,EMSC,svm,BandShift,0.820513,0.827229,0.780193
45,2,1.000000,EMSC,rbf_svm,Normal,0.974359,0.962963,0.967901
45,2,1.000000,EMSC,rbf_svm,BandShift,0.820513,0.720269,0.768448
45,2,1.000000,Detrend,svm,Normal,0.871795,0.838095,0.839901
45,2,1.000000,Detrend,svm,BandShift,0.333333,0.180808,0.208431
45,2,1.000000,Detrend,rbf_svm,Normal,0.923077,0.906832,0.902419
45,2,1.000000,Detrend,rbf_svm,BandShift,0.358974,0.226157,0.225576
45,3,1.000000,USP,svm,Normal,1.000000,1.000000,1.000000
45,3,1.000000,USP,svm,BandShift,1.000000,1.000000,1.000000
45,3,1.000000,USP,rbf_svm,Normal,0.973684,0.978408,0.966957
45,3,1.000000,USP,rbf_svm,BandShift,0.973684,0.978408,0.966957
45,3,1.000000,SNV,svm,Normal,0.947368,0.961415,0.933856
45,3,1.000000,SNV,svm,BandShift,0.789474,0.668680,0.736111
