condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
Normal,Detrend,7,49,Detrend,A2_noPostSNV,rbf_svm,0.583333,0.404040,0.318182
BandShift,Detrend,7,49,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,7,49,Detrend,A2_noPostSNV,rf,0.750000,0.516667,0.506849
BandShift,Detrend,7,49,Detrend,A2_noPostSNV,rf,0.583333,0.584127,0.400000
Normal,USP,8,50,none,A_postSNV,svm,0.666667,0.433333,0.342466
BandShift,USP,8,50,none,A_postSNV,svm,0.500000,0.348485,0.225806
Normal,USP,8,50,none,A_postSNV,rbf_svm,0.666667,0.456410,0.421687
BandShift,USP,8,50,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,8,50,none,A_postSNV,rf,0.666667,0.433333,0.342466
BandShift,USP,8,50,none,A_postSNV,rf,0.666667,0.456410,0.421687
Normal,SNV,8,50,SNV,A2_noPostSNV,svm,0.750000,0.496732,0.428571
BandShift,SNV,8,50,SNV,A2_noPostSNV,svm,0.666667,0.266667,0.000000
Normal,SNV,8,50,SNV,A2_noPostSNV,rbf_svm,0.750000,0.482143,0.470588
BandShift,SNV,8,50,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,8,50,SNV,A2_noPostSNV,rf,0.750000,0.482143,0.470588
BandShift,SNV,8,50,SNV,A2_noPostSNV,rf,0.666667,0.456410,0.421687
Normal,SG1,8,50,SG1,A2_noPostSNV,svm,0.833333,0.535948,0.619048
BandShift,SG1,8,50,SG1,A2_noPostSNV,svm,0.666667,0.266667,0.000000
Normal,SG1,8,50,SG1,A2_noPostSNV,rbf_svm,0.666667,0.433333,0.342466
BandShift,SG1,8,50,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,8,50,SG1,A2_noPostSNV,rf,0.750000,0.447059,0.446154
BandShift,SG1,8,50,SG1,A2_noPostSNV,rf,0.833333,0.535948,0.619048
Normal,EMSC,8,50,EMSC,A2_noPostSNV,svm,0.750000,0.482143,0.470588
BandShift,EMSC,8,50,EMSC,A2_noPostSNV,svm,0.333333,0.216931,0.067961
Normal,EMSC,8,50,EMSC,A2_noPostSNV,rbf_svm,0.750000,0.447368,0.320755
BandShift,EMSC,8,50,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,8,50,EMSC,A2_noPostSNV,rf,0.833333,0.535948,0.619048
BandShift,EMSC,8,50,EMSC,A2_noPostSNV,rf,0.750000,0.513889,0.485714
Normal,Detrend,8,50,Detrend,A2_noPostSNV,svm,0.750000,0.482143,0.470588
