phase,condition,method,repeat,seed,fold,preprocess,variant,classifier,OA,macro_F1,kappa
1,Pooled,EMSC,10,44,0.000000,EMSC,A2_noPostSNV,svm,0.666667,0.672673,0.600592
1,Pooled+BandShift,EMSC,10,44,0.000000,EMSC,A2_noPostSNV,svm,0.622222,0.613629,0.547872
1,Pooled,EMSC,10,44,0.000000,EMSC,A2_noPostSNV,rbf_svm,0.577778,0.585854,0.495277
1,Pooled+BandShift,EMSC,10,44,0.000000,EMSC,A2_noPostSNV,rbf_svm,0.622222,0.630994,0.547872
1,Pooled,Detrend,10,44,0.000000,Detrend,A2_noPostSNV,svm,0.711111,0.715507,0.653641
1,Pooled+BandShift,Detrend,10,44,0.000000,Detrend,A2_noPostSNV,svm,0.666667,0.667824,0.600828
1,Pooled,Detrend,10,44,0.000000,Detrend,A2_noPostSNV,rbf_svm,0.644444,0.653424,0.573964
1,Pooled+BandShift,Detrend,10,44,0.000000,Detrend,A2_noPostSNV,rbf_svm,0.688889,0.695208,0.626335
1,Pooled,USP,11,44,1.000000,none,A_postSNV,svm,0.822222,0.815137,0.786223
1,Pooled+BandShift,USP,11,44,1.000000,none,A_postSNV,svm,0.800000,0.791325,0.759644
1,Pooled,USP,11,44,1.000000,none,A_postSNV,rbf_svm,0.622222,0.617484,0.545455
1,Pooled+BandShift,USP,11,44,1.000000,none,A_postSNV,rbf_svm,0.577778,0.558011,0.492280
1,Pooled,SNV,11,44,1.000000,SNV,A2_noPostSNV,svm,0.688889,0.677072,0.625668
1,Pooled+BandShift,SNV,11,44,1.000000,SNV,A2_noPostSNV,svm,0.600000,0.603487,0.520710
1,Pooled,SNV,11,44,1.000000,SNV,A2_noPostSNV,rbf_svm,0.666667,0.648105,0.599644
1,Pooled+BandShift,SNV,11,44,1.000000,SNV,A2_noPostSNV,rbf_svm,0.666667,0.655012,0.598692
1,Pooled,SG1,11,44,1.000000,SG1,A2_noPostSNV,svm,0.822222,0.815954,0.786350
1,Pooled+BandShift,SG1,11,44,1.000000,SG1,A2_noPostSNV,svm,0.377778,0.329090,0.245961
1,Pooled,SG1,11,44,1.000000,SG1,A2_noPostSNV,rbf_svm,0.711111,0.710206,0.653231
1,Pooled+BandShift,SG1,11,44,1.000000,SG1,A2_noPostSNV,rbf_svm,0.422222,0.365812,0.300239
1,Pooled,EMSC,11,44,1.000000,EMSC,A2_noPostSNV,svm,0.711111,0.710784,0.651786
1,Pooled+BandShift,EMSC,11,44,1.000000,EMSC,A2_noPostSNV,svm,0.577778,0.557596,0.491677
1,Pooled,EMSC,11,44,1.000000,EMSC,A2_noPostSNV,rbf_svm,0.577778,0.594872,0.492883
1,Pooled+BandShift,EMSC,11,44,1.000000,EMSC,A2_noPostSNV,rbf_svm,0.533333,0.543434,0.438503
1,Pooled,Detrend,11,44,1.000000,Detrend,A2_noPostSNV,svm,0.777778,0.780130,0.732620
1,Pooled+BandShift,Detrend,11,44,1.000000,Detrend,A2_noPostSNV,svm,0.511111,0.501734,0.414201
1,Pooled,Detrend,11,44,1.000000,Detrend,A2_noPostSNV,rbf_svm,0.688889,0.682096,0.626335
1,Pooled+BandShift,Detrend,11,44,1.000000,Detrend,A2_noPostSNV,rbf_svm,0.600000,0.594630,0.519858
1,Pooled,USP,12,44,2.000000,none,A_postSNV,svm,0.795455,0.793238,0.754950
1,Pooled+BandShift,USP,12,44,2.000000,none,A_postSNV,svm,0.750000,0.742539,0.699752
1,Pooled,USP,12,44,2.000000,none,A_postSNV,rbf_svm,0.681818,0.666522,0.618103
1,Pooled+BandShift,USP,12,44,2.000000,none,A_postSNV,rbf_svm,0.659091,0.637734,0.590825
1,Pooled,SNV,12,44,2.000000,SNV,A2_noPostSNV,svm,0.704545,0.691905,0.645601
1,Pooled+BandShift,SNV,12,44,2.000000,SNV,A2_noPostSNV,svm,0.613636,0.626041,0.537701
